INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE
80-21-046377,8/8/21 0:45,8/8/21 0:15,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3300 BLOCK UTAH AVE                                         ,LOUISVILLE,40215
80-21-046209,8/7/21 3:42,8/7/21 3:42,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,SERVICE / GAS STATION                        ,4300 BLOCK S 3RD ST                                         ,LOUISVILLE,40214
80-21-044893,8/1/21 3:54,8/1/21 3:54,HOMICIDE,MURDER,09A,PART I,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY                       ,1000 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40204
80-21-043948,7/27/21 23:09,7/27/21 23:09,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,3700 BLOCK W MAIN ST                                        ,LOUISVILLE,40212
80-21-043563,7/26/21 13:00,7/26/21 13:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,436,OTHER / UNKNOWN                              ,100 BLOCK ROCHESTER DR                                      ,LOUISVILLE,40214
80-21-043420,7/25/21 23:21,7/25/21 23:21,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY                       ,S JACKSON ST / E JEFFERSON ST                               ,LOUISVILLE,40202
80-21-042611,7/22/21 1:46,7/22/21 1:46,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,200 BLOCK CECIL AVE                                         ,LOUISVILLE,40212
80-21-042569,7/21/21 20:48,7/21/21 20:48,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,200 BLOCK CECIL AVE                                         ,LOUISVILLE,40212
80-21-041020,7/15/21 7:39,7/15/21 7:39,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,11800 BLOCK MAHOGANY DR                                     ,LOUISVILLE,40272
80-21-040718,7/13/21 18:05,7/13/21 16:27,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,700 BLOCK TRAFALGAR SQ                                      ,LOUISVILLE,40218
80-21-040059,7/10/21 17:42,7/10/21 17:42,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,M ST / RODMAN ST                                            ,LOUISVILLE,40208
80-21-039876,7/9/21 19:07,7/9/21 19:07,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,2200 BLOCK CLEVELAND AVE                                    ,LOUISVILLE,40212
80-21-039214,7/6/21 20:48,7/6/21 20:48,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,W BROADWAY / DR W J HODGE ST                                ,LOUISVILLE,40203
80-21-038830,7/5/21 3:22,7/5/21 3:22,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,3RD DIVISION,315,HIGHWAY / ROAD / ALLEY                       ,7900 BLOCK JONQUIL DR                                       ,LOUISVILLE,40258
80-21-038622,7/4/21 1:31,7/4/21 1:31,HOMICIDE,MURDER,09A,PART I,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY                       ,900 BLOCK BAXTER AVE                                        ,LOUISVILLE,40204
80-21-038503,7/3/21 10:37,7/3/21 10:37,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,236,RESIDENCE / HOME                             ,4700 BLOCK CLARION CT                                       ,LOUISVILLE,40216
80-21-038372,7/2/21 19:18,7/2/21 19:18,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,1800 BLOCK ROWAN ST                                         ,LOUISVILLE,40203
80-21-037264,6/28/21 0:02,6/28/21 0:02,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,@ROY WILKINS TO I64W                                        ,LOUISVILLE,40202
80-21-036186,6/23/21 1:31,6/23/21 1:31,HOMICIDE,MURDER,09A,PART I,COMPLETED,5TH DIVISION,525,PARK / PLAYGROUND                            ,3700 BLOCK RIVER RD                                         ,LOUISVILLE,40207
80-21-035633,6/20/21 19:35,6/20/21 19:35,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,PARKING LOT / GARAGE                         ,3900 BLOCK 7TH STREET RD                                    ,LOUISVILLE,40216
80-21-035586,6/20/21 14:54,6/20/21 14:54,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,DATE ST / DR W J HODGE ST                                   ,LOUISVILLE,40210
80-21-035496,6/20/21 2:51,6/20/21 2:51,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,323,OTHER / UNKNOWN                              ,7100 BLOCK YORKTOWN TER                                     ,LOUISVILLE,40214
80-21-035174,6/18/21 17:45,6/18/21 17:31,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,711,RESIDENCE / HOME                             ,6800 BLOCK SHIBLEY AVE                                      ,LOUISVILLE,40291
80-21-035157,6/18/21 16:06,6/18/21 16:06,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,HIGHWAY / ROAD / ALLEY                       ,S 40TH ST / GRAND AVE                                       ,LOUISVILLE,40211
80-21-034970,6/17/21 11:54,6/17/21 8:30,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME                             ,1500 BLOCK S 31ST ST                                        ,LOUISVILLE,40211
80-21-034779,6/17/21 1:41,6/17/21 1:41,HOMICIDE,MURDER,09A,PART I,COMPLETED,5TH DIVISION,512,PARKING LOT / GARAGE                         ,1100 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40204
80-21-034493,6/15/21 20:34,6/15/21 20:34,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,334,HIGHWAY / ROAD / ALLEY                       ,7900 BLOCK 3RD STREET RD                                    ,LOUISVILLE,40214
80-21-034070,6/14/21 7:43,6/14/21 7:43,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,411,OTHER RESIDENCE (APARTMENT/CONDO)            ,1300 BLOCK S FLOYD ST                                       ,LOUISVILLE,40208
80-21-033959,6/13/21 16:36,6/13/21 16:36,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,700 BLOCK DENMARK ST                                        ,LOUISVILLE,40215
80-21-033829,6/13/21 0:02,6/13/21 0:02,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,5200 BLOCK ROBINWOOD RD                                     ,LOUISVILLE,40218
80-21-033722,6/12/21 13:44,6/12/21 13:44,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,PARKING LOT / GARAGE                         ,1200 BLOCK W HILL ST                                        ,LOUISVILLE,40210
80-21-033619,6/11/21 20:37,6/11/21 20:37,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,4200 BLOCK GRAND AVE                                        ,LOUISVILLE,40211
80-21-033139,6/9/21 21:41,6/9/21 21:41,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME                             ,400 BLOCK W SOUTHSIDE CT                                    ,LOUISVILLE,40214
80-21-032894,6/8/21 22:36,6/8/21 22:36,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,800 BLOCK S 24TH ST                                         ,LOUISVILLE,40211
80-21-032606,6/7/21 18:02,6/7/21 18:02,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,412,PARK / PLAYGROUND                            ,500 BLOCK CALDWELL ST                                       ,LOUISVILLE,40203
80-21-032507,6/7/21 11:45,6/7/21 11:45,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,LIQUOR STORE                                 ,3200 BLOCK TAYLOR BLVD                                      ,LOUISVILLE,40215
80-21-032270,6/6/21 4:06,6/6/21 4:06,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,624,RESIDENCE / HOME                             ,2100 BLOCK BUECHEL BANK RD                                  ,LOUISVILLE,40218
80-21-032249,6/6/21 1:26,6/6/21 1:26,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,2900 BLOCK W KENTUCKY ST                                    ,LOUISVILLE,40211
80-21-031951,6/4/21 17:36,6/4/21 17:36,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,4100 BLOCK W BROADWAY                                       ,LOUISVILLE,40211
80-21-031770,6/4/21 4:00,6/4/21 3:41,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,4300 BLOCK OLD PARK BLVD                                    ,LOUISVILLE,40209
80-21-031285,6/1/21 20:59,6/1/21 20:59,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,HOTEL / MOTEL / ETC.                         ,2900 BLOCK FERN VALLEY RD                                   ,LOUISVILLE,40213
80-21-030739,5/30/21 3:18,5/30/21 3:18,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,BAR / NIGHT CLUB                             ,3500 BLOCK 7TH STREET RD                                    ,LOUISVILLE,40216
80-21-031602,5/30/21 3:18,5/30/21 3:18,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,BAR / NIGHT CLUB                             ,3500 BLOCK 7TH STREET RD                                    ,LOUISVILLE,40216
80-21-030177,5/27/21 13:02,5/27/21 13:02,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,OTHER RESIDENCE (APARTMENT/CONDO)            ,1600 BLOCK MOORE CT                                         ,LOUISVILLE,40210
80-21-030178,5/27/21 12:45,5/27/21 12:45,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,CENTRAL AVE / MONTANA AVE                                   ,LOUISVILLE,40208
80-21-030046,5/26/21 21:01,5/26/21 21:01,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4500 BLOCK BELLEVUE AVE                                     ,LOUISVILLE,40215
80-21-029811,5/26/21 0:00,5/26/21 0:00,HOMICIDE,MANSLAUGHTER-1ST DEGREE,09A,PART I,COMPLETED,3RD DIVISION,331,HIGHWAY / ROAD / ALLEY                       ,DIXIE HWY / ST ANDREWS CHURCH RD                            ,LOUISVILLE,40258
80-21-029746,5/25/21 18:04,5/25/21 18:04,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,HIGHWAY / ROAD / ALLEY                       ,1100 BLOCK S 41ST ST                                        ,LOUISVILLE,40211
80-21-029505,5/24/21 18:38,5/24/21 18:38,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,2300 BLOCK TERRIER CT                                       ,LOUISVILLE,40218
80-21-029491,5/24/21 18:27,5/24/21 18:26,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,234,PARKING LOT / GARAGE                         ,3000 BLOCK WILSON AVE                                       ,LOUISVILLE,40211
80-21-029297,5/24/21 1:46,5/24/21 1:46,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,613,HIGHWAY / ROAD / ALLEY                       ,5000 BLOCK YEW LN                                           ,LOUISVILLE,40213
80-21-027801,5/17/21 14:55,5/17/21 14:55,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,625,PARKING LOT / GARAGE                         ,3300 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40218
80-21-027764,5/17/21 11:34,5/17/21 11:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,100 BLOCK COLONIAL OAKS CT                                  ,LOUISVILLE,40214
80-21-027671,5/16/21 20:40,5/16/21 20:40,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,S 8TH ST / W KENTUCKY ST                                    ,LOUISVILLE,40203
80-21-027567,5/16/21 8:37,5/15/21 20:30,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,611,PARKING LOT / GARAGE                         ,3300 BLOCK PRESTON HWY                                      ,LOUISVILLE,40213
80-21-027072,5/13/21 18:00,5/13/21 17:44,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,MONTANA AVE / WELLER AVE                                    ,LOUISVILLE,40208
80-21-027050,5/13/21 16:25,5/13/21 14:47,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,6700 BLOCK WHIPPANY CT                                      ,LOUISVILLE,40258
80-21-026865,5/12/21 18:53,5/12/21 18:53,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,4100 BLOCK GRAND AVE                                        ,LOUISVILLE,40211
80-21-026470,5/10/21 23:49,5/10/21 23:49,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,613,PARKING LOT / GARAGE                         ,3300 BLOCK RED ROOF INN PL                                  ,WATTERSON_PARK,40218
80-21-026258,5/10/21 5:49,5/10/21 5:49,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,700 BLOCK EASTERN PKY                                       ,LOUISVILLE,40217
80-21-024688,5/2/21 18:15,5/2/21 18:15,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,PARKING LOT / GARAGE                         ,3200 BLOCK UTAH AVE                                         ,LOUISVILLE,40215
