INCIDENT_DATE,INCIDENT_NUMBER,LOCATION_DISTRICT,OFFENSE_CODE,OFFENSE_DESCRIPTION,WEAPON_TYPE,INCIDENT_LOCATION,CITY,STATE,ZIP,LATITUDE,LONGITUDE,Location 1
8/30/19 18:29,2019-109192,52,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,1910 S PULASKI ST,LITTLE ROCK,AR,72206,34.730484,-92.288376,"(34.730484, -92.288376)"
10/5/21 17:06,2021-122427,93,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,3600 JOHN BARROW RD,LITTLE ROCK,AR,72204,34.720743,-92.373021,"(34.720743, -92.373021)"
9/23/20 2:58,2020-110650,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,KNIFE/CUTTING INSTRUMENT,4218 W 12TH ST,LITTLE ROCK,AR,72204,34.741013,-92.320406,"(34.741013, -92.320406)"
7/29/18 0:00,2018-096071,64,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,KNIFE/CUTTING INSTRUMENT,9900 KENSINGTON DR,LITTLE ROCK,AR,72204,34.727673,-92.384445,"(34.727673, -92.384445)"
3/27/20 8:27,2020-034076,52,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,2924 SOUTH GAINES STREET,LITTLE ROCK,AR,72206,34.721586,-92.281453,"(34.721586, -92.281453)"
12/19/18 20:30,2018-160757,52,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,BLUNT OBJECT,2017 DENNISON ST,LITTLE ROCK,AR,72202,34.730048,-92.299614,"(34.730048, -92.299614)"
1/29/19 18:00,2019-012792,64,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,3501 DORSET DR,LITTLE ROCK,AR,72204,34.721993,-92.384846,"(34.721993, -92.384846)"
11/30/18 2:00,2018-151972,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,2119 FAIR PARK,LITTLE ROCK,AR,72205,34.73215,-92.33488,"(34.73215, -92.33488)"
8/13/17 2:55,2017-099159,41,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,3101 MAIN ST,LITTLE ROCK,AR,72206,34.718807,-92.274391,"(34.718807, -92.274391)"
7/11/19 0:01,2019-086190,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,4200 W 11TH ST,LITTLE ROCK,AR,72204,34.741546,-92.320075,"(34.741546, -92.320075)"
5/19/21 22:15,2021-055439,53,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,KNIFE/CUTTING INSTRUMENT,3108 W 13TH ST,LITTLE ROCK,AR,72204,34.739342,-92.30861,"(34.739342, -92.30861)"
9/15/21 15:24,2021-113137,63,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,1801  NICHOLS RD,LITTLE ROCK,AR,72205,34.737288,-92.38663,"(34.737288, -92.38663)"
1/25/20 1:30,2020-009835,52,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,3112 S RINGO ST,LITTLE ROCK,AR,72206,34.717814,-92.287201,"(34.717814, -92.287201)"
