X,Y,crime_id,report_number,address,offense_description,offense_category,state_offense_code,arrest_charge,charge_description,incident_timestamp,incident_time,day_of_week,hour_of_day,year,scout_car_area,precinct,block_id,neighborhood,council_district,zip_code,longitude,latitude,oid
-83.1010230649999,42.3839618580001,3640932,2106100304,Woodrow Wilson St & Calvert St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/11 02:25:00+00,22:25:00,4,22,2021,1005,10,261635319002023,Dexter-Linwood,5,48206,-83.1010230648273,42.3839618578832,87454
-83.146639622,42.2755127560001,3641479,2106120201,Schaefer & S Ethel St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/12 22:53:00+00,18:53:00,6,18,2021,0415,04,261635247001002,Boynton,6,48217,-83.1466396217369,42.2755127562486,87543
-83.0245055939999,42.4413496920001,3642410,2106140415,E Outer Dr & Van Dyke St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/15 06:42:00+00,02:42:00,2,2,2021,1105,11,261635051001011,Conner Creek,3,48234,-83.0245055937036,42.4413496920762,87697
-83.016449458,42.439128543,3643727,2106180147,E Outer Dr & ,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/18 18:25:00+00,14:25:00,5,14,2021,1105,11,261635051002008,Nortown,3,48234,-83.0164494581425,42.4391285426617,87906
-83.127403535,42.3408373770001,3644236,2106190320,Livernois Ave & McGraw St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/20 05:50:00+00,01:50:00,7,1,2021,0402,04,261635264001000,Claytown,6,48210,-83.1274035352698,42.3408373773616,87987
-83.227188282,42.4226234230001,3644846,2106210292,Stahelin Ave & Curtis St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/22 02:54:00+00,22:54:00,1,22,2021,0807,08,261635405001006,Evergreen-Outer Drive,1,48219,-83.2271882817071,42.4226234233461,88093
-83.153909805,42.4224621600001,3644850,2106210243,Thatcher St & Northlawn St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/21 08:00:00+00,04:00:00,1,4,2021,1208,12,261635385004000,Bagley,2,48221,-83.1539098050863,42.4224621604833,88095
-83.1976137249999,42.403350324,3648682,2107030035,Prest St & Keeler St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/07/03 08:30:00+00,04:30:00,6,4,2021,0201,02,261635375005002,Belmont,1,48227,-83.1976137247756,42.4033503243864,88696
-83.143725871,42.4075341710001,3650312,2107070328,Monica St & Pilgrim St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/07/08 03:37:00+00,23:37:00,3,23,2021,1211,12,261635363001002,Fitzgerald/Marygrove,2,48238,-83.1437258706669,42.4075341714264,88938
-83.104818059,42.390864923,3653878,2107180161,Richton St & S M 10 Service Drive,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/07/18 20:22:00+00,16:22:00,7,16,2021,1005,10,261635319002001,Dexter-Linwood,5,48206,-83.1048180592694,42.3908649228794,89506
-83.240007007,42.3718778520001,3654843,2107210047,Stout St & Plymouth Rd,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/07/21 12:31:00+00,08:31:00,3,8,2021,0603,06,261635464002007,Weatherby,7,48228,-83.2400070065294,42.3718778524571,89670
-83.068496139,42.437987063,3655480,2107220265,Revere St & E Lantz St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/07/23 01:34:00+00,21:34:00,4,21,2021,1102,11,261635069004001,Pershing,3,48234,-83.0684961390346,42.4379870630837,89759
-83.167667702,42.3882844440001,3656106,2107240284,Schoolcraft St & Manor,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/07/25 03:46:00+00,23:46:00,6,23,2021,0203,02,261635366001020,Northwest Community,7,48238,-83.1676677022052,42.3882844435559,89877
-83.1363848509999,42.3353112090001,3656436,2107250281,Chopin St & Panama St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/07/26 06:11:00+00,02:11:00,1,2,2021,0402,04,261635263001001,Claytown,6,48210,-83.13638485104,42.3353112091198,89943
-83.1551272249999,42.2627645330001,3656680,2107260185,S Bassett St & Francis St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/07/26 21:15:00+00,17:15:00,1,17,2021,0415,04,261635248001003,Boynton,6,48217,-83.155127224937,42.2627645330638,89984
-83.244946333,42.402361925,3656774,2107260331,Keeler St & Braile St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/07/27 05:36:00+00,01:36:00,2,1,2021,0805,08,261635435001001,Brightmoor,1,48223,-83.244946333158,42.4023619245363,89999
-83.119137845,42.3941021210001,3657153,2107270374,La Salle Blvd & W Davison St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/07/28 07:18:00+00,03:18:00,3,3,2021,1003,10,261635318003005,Dexter-Linwood,5,48238,-83.1191378445905,42.3941021211045,90057
