X,Y,crime_id,report_number,address,offense_description,offense_category,state_offense_code,arrest_charge,charge_description,incident_timestamp,incident_time,day_of_week,hour_of_day,year,scout_car_area,precinct,block_id,neighborhood,council_district,zip_code,longitude,latitude,oid
-83.03185215,42.44118613,3641779,2106130075,E Outer Dr & Helen St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/13 12:33:00+00,8:33:00,7,8,2021,1104,11,2.62E+14,Sherwood,3,48234,-83.03185214,42.44118613,299017
-83.14663962,42.27551276,3641479,2106120201,Schaefer & S Ethel St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/12 22:53:00+00,18:53:00,6,18,2021,415,4,2.62E+14,Boynton,6,48217,-83.14663962,42.27551276,87539
-83.01788845,42.34029978,3641174,2106110178, & McDougall,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/11 20:32:00+00,16:32:00,5,16,2021,710,7,2.62E+14,Elmwood Park,5,48207,-83.01788845,42.34029978,402824
-83.12034211,42.3311201,3641237,2106110237,Livernois Ave & Michigan Ave,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/11 10:10:00+00,6:10:00,5,6,2021,405,4,2.62E+14,Claytown,6,48210,-83.12034211,42.33112009,402832
-83.10102306,42.38396186,3640932,2106100304,Woodrow Wilson St & Calvert St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/11 02:25:00+00,22:25:00,4,22,2021,1005,10,2.62E+14,Dexter-Linwood,5,48206,-83.10102306,42.38396186,87452
-83.02710645,42.39271312,3640399,2106090170,Saint Cyril Ave & Erbie St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/09 20:31:00+00,16:31:00,3,16,2021,1112,11,2.62E+14,Airport Sub,3,48213,-83.02710645,42.39271312,192772
-83.21431722,42.36756198,3639757,2106070266,Longacre St & Orangelawn St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/08 01:05:00+00,21:05:00,1,21,2021,603,6,2.62E+14,Joy Community,7,48227,-83.21431722,42.36756198,192665
-83.02209444,42.35416602,3638450,2106060335,Hendricks St & Moran St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/07 06:44:00+00,2:44:00,1,2,2021,710,7,2.62E+14,Elmwood Park,5,48207,-83.02209444,42.35416602,192612
-83.02781737,42.33602364,3636339,2106010031,E Jefferson Ave & Saint Aubin St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/01 09:28:00+00,5:28:00,2,5,2021,709,7,2.62E+14,Rivertown,5,48207,-83.02781737,42.33602364,298339
-83.0528004,42.43591863,3636277,2105310246,Emery St & Conley St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/01 02:47:00+00,22:47:00,1,22,2021,1103,11,2.62E+14,Farwell,3,48234,-83.0528004,42.43591863,86852
-83.14578782,42.34392803,3636092,2105310049,Holmes St & Central St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/31 10:30:00+00,6:30:00,1,6,2021,401,4,2.62E+14,Claytown,6,48210,-83.14578782,42.34392803,298274
-83.12547312,42.32831562,3635768,2105300084,Edward & Martin St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/30 14:24:00+00,10:24:00,7,10,2021,405,4,2.62E+14,Claytown,6,48210,-83.12547312,42.32831562,192149
-83.03874163,42.42867723,3635559,2105290205,Mount Elliott St & Stockton St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/30 00:30:00+00,20:30:00,6,20,2021,1109,11,2.62E+14,Grant,3,48234,-83.03874163,42.42867723,402082
-83.02751333,42.43299246,3634963,2105270362,E Brentwood St & Packard St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/28 05:15:00+00,1:15:00,5,1,2021,1109,11,2.62E+14,Grant,3,48234,-83.02751333,42.43299246,86671
-82.98578316,42.42648316,3634941,2105270342,E McNichols Rd & Pelkey St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/28 03:57:00+00,23:57:00,4,23,2021,909,9,2.62E+14,Gratiot-Findlay,4,48205,-82.98578316,42.42648316,401993
